Name,Quantity,Component
"U1",1," Arduino Uno R3"
"GAS1",1," Gas Sensor"
"PIEZO1",1," Piezo"
"R1",1,"220 Ω Resistor"
"R2",1,"4.7 kΩ Resistor"
"R3",1,"1 kΩ Resistor"
"Rpot3",1,"10 kΩ Potentiometer"
"U2",1," LCD 16 x 2"
